SW Version,2022.2
Date and Time Started,2026-Feb-10 14:44:42
Date and Time Ended,2026-Feb-10 14:44:43
Scan Name,Scan 1
Link Settings,
Reset RX After Applying Settings,false
Open Area,3904
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.456725,0.503496,0.50365,0.50365,0.503805,0.503728,0.50365,0.50365,0.50365
112,0.387228,0.502648,0.502571,0.501197,0.50365,0.503573,0.50365,0.50365,0.50365
104,0.37333,0.378458,0.416751,0.444736,0.493902,0.502879,0.451725,0.501273,0.478138
96,0.322069,0.301473,0.326562,0.260122,0.264215,0.304141,0.430635,0.449485,0.434029
88,0.257975,0.252077,0.138013,0.10934,0.202391,0.102556,0.249797,0.260762,0.293449
80,0.251825,0.251904,0.16063,0.0591869,0.0042895,0.0651187,0.230407,0.251133,0.253056
72,0.251903,0.158328,0.0587191,0.00568952,3.81476e-07,0.0376138,0.146416,0.251903,0.251922
64,0.251825,0.162828,0.0328163,4.38697e-06,3.81476e-07,0.00718833,0.118625,0.195163,0.251903
56,0.251833,0.13277,0.00428531,3.81476e-07,3.81476e-07,4.63493e-05,0.073376,0.168803,0.251903
48,0.247139,0.120098,9.15541e-06,3.81476e-07,3.81476e-07,3.81476e-07,0.0562979,0.1502,0.254411
40,0.230472,0.111682,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0385302,0.126745,0.25425
32,0.231981,0.0723858,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0170702,0.102613,0.284432
24,0.241754,0.0293786,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00403201,0.0764894,0.297725
16,0.260507,0.00478733,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,7.40063e-05,0.0544142,0.275057
8,0.268596,0.000242046,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.042448,0.243241
0,0.256061,1.90738e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.037422,0.247695
-8,0.260171,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0428971,0.239284
-16,0.289309,2.28885e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000127413,0.0711259,0.222912
-24,0.291745,0.000481422,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00685607,0.0873802,0.245788
-32,0.325619,0.0142328,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0216449,0.0966025,0.239601
-40,0.284051,0.0478779,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0485792,0.112862,0.251574
-48,0.272478,0.115819,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0824051,0.131362,0.251903
-56,0.253588,0.124876,0.0008402,3.81476e-07,3.81476e-07,0.000246433,0.0910413,0.15629,0.251903
-64,0.251909,0.143743,0.0294039,1.43053e-05,3.81476e-07,0.0115896,0.106176,0.225925,0.251903
-72,0.251825,0.250057,0.0886568,0.0180444,0.000124552,0.0297477,0.140681,0.232951,0.251903
-80,0.251832,0.251843,0.214656,0.119784,0.0435256,0.0711116,0.21062,0.245106,0.252977
-88,0.279503,0.265026,0.278974,0.284889,0.108684,0.277087,0.239926,0.307168,0.299826
-96,0.351386,0.354829,0.351416,0.362139,0.37006,0.444239,0.443159,0.38339,0.469713
-104,0.364166,0.470217,0.475769,0.43961,0.467769,0.444839,0.492394,0.495849,0.492834
-112,0.493973,0.495776,0.495269,0.495776,0.495776,0.495776,0.495776,0.495776,0.495776
-120,0.495631,0.495776,0.495776,0.495849,0.495776,0.495849,0.495776,0.495849,0.495776
Scan End
