SW Version,2022.2
Date and Time Started,2026-Feb-13 14:31:16
Date and Time Ended,2026-Feb-13 14:31:18
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,3712
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.50097,0.50365,0.501273,0.497385,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.374348,0.483365,0.500667,0.407092,0.503573,0.50365,0.502418,0.471682,0.50365
104,0.342004,0.383591,0.383803,0.364614,0.28122,0.354366,0.474737,0.487557,0.41053
96,0.292482,0.303376,0.31516,0.210401,0.241101,0.341442,0.360573,0.334444,0.412486
88,0.269275,0.254303,0.253387,0.15113,0.0657016,0.11459,0.187397,0.250632,0.274873
80,0.251825,0.210642,0.197919,0.114094,0.00243248,0.0442958,0.128898,0.205507,0.251903
72,0.251828,0.23392,0.124857,0.0323894,3.81476e-07,0.0299719,0.0882443,0.205322,0.251903
64,0.254143,0.132255,0.125527,0.00250229,3.81476e-07,0.00569276,0.0648222,0.149275,0.251883
56,0.25821,0.131154,0.052654,6.10361e-06,3.81476e-07,0.000186542,0.0337061,0.1179,0.251922
48,0.269952,0.126029,0.0189857,3.81476e-07,3.81476e-07,3.81476e-07,0.0272067,0.0968113,0.251748
40,0.282699,0.120913,0.00678988,3.81476e-07,3.81476e-07,3.81476e-07,0.00642119,0.0664194,0.257887
32,0.272554,0.0950666,0.000143626,3.81476e-07,3.81476e-07,3.81476e-07,0.000314145,0.0459629,0.257168
24,0.265363,0.0660371,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0309608,0.263537
16,0.266372,0.0331616,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0202292,0.262537
8,0.252598,0.0164263,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00563077,0.258204
0,0.265371,0.0103063,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00638266,0.248876
-8,0.283232,0.000939956,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.021128,0.230766
-16,0.314917,0.00201438,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,1.14443e-06,0.0325283,0.20034
-24,0.32932,0.0142126,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000365263,0.05261,0.19881
-32,0.343808,0.0313243,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00653487,0.0717455,0.187838
-40,0.323019,0.0611336,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0214455,0.0977553,0.222596
-48,0.314198,0.107126,0.000207713,3.81476e-07,3.81476e-07,2.57496e-05,0.0384417,0.115562,0.231899
-56,0.285991,0.134425,0.00849489,3.81476e-07,3.81476e-07,0.00264496,0.0587486,0.125652,0.237405
-64,0.265997,0.168731,0.0511546,3.79568e-05,3.81476e-07,0.0222136,0.0812527,0.136888,0.241151
-72,0.260808,0.20187,0.114668,0.00762551,7.62951e-07,0.044007,0.108548,0.161815,0.248621
-80,0.253683,0.237721,0.179686,0.0356977,0.00231289,0.0486773,0.129878,0.214829,0.251883
-88,0.251828,0.2509,0.251146,0.111183,0.0432883,0.111495,0.17824,0.216489,0.255026
-96,0.264759,0.268308,0.261295,0.261688,0.177086,0.348938,0.235812,0.313915,0.295185
-104,0.297716,0.314012,0.372347,0.433665,0.314701,0.31066,0.426863,0.431431,0.418951
-112,0.365522,0.42014,0.469232,0.495849,0.464154,0.491548,0.494908,0.492872,0.495849
-120,0.494619,0.44903,0.495849,0.495776,0.495776,0.495849,0.495849,0.495849,0.495776
Scan End
