SW Version,2022.2
Date and Time Started,2026-Feb-13 14:31:27
Date and Time Ended,2026-Feb-13 14:31:28
Scan Name,Scan 1
Link Settings,
Reset RX After Applying Settings,false
Open Area,3776
Horizontal Opening,41
Horizontal Percentage,66.67
Vertical Opening,129
Vertical Percentage,54.84
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.50365,0.50365,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.444168,0.501197,0.475892,0.472869,0.50365,0.501882,0.50365,0.503728,0.502341
104,0.365302,0.389875,0.412293,0.418828,0.489271,0.503728,0.50058,0.472995,0.490795
96,0.31084,0.303666,0.377757,0.246502,0.358928,0.276161,0.428143,0.36494,0.39517
88,0.25309,0.254295,0.240301,0.139544,0.164183,0.144606,0.256347,0.263699,0.281861
80,0.251825,0.251439,0.123392,0.0462546,0.00185588,0.0613156,0.191309,0.251961,0.252584
72,0.251825,0.20192,0.125835,0.00538109,3.81476e-07,0.0447401,0.123651,0.245262,0.251922
64,0.251825,0.158328,0.0772237,2.67033e-06,3.81476e-07,0.0104603,0.111632,0.222315,0.251903
56,0.251837,0.128199,0.00596494,3.81476e-07,3.81476e-07,0.000423247,0.0782192,0.164507,0.251903
48,0.251892,0.117632,2.28885e-06,3.81476e-07,3.81476e-07,3.81476e-07,0.0521114,0.136337,0.252389
40,0.226872,0.0839764,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0246834,0.116682,0.271792
32,0.235074,0.0416637,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0118315,0.0945304,0.294682
24,0.239847,0.0126913,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00152419,0.0649794,0.290711
16,0.263376,0.000802815,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,1.04906e-05,0.0465222,0.285513
8,0.256258,5.5314e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0238061,0.252761
0,0.253292,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0309965,0.254052
-8,0.25678,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0466136,0.251889
-16,0.281719,2.28885e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000442512,0.0659465,0.237204
-24,0.293293,0.000489624,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00721847,0.0874268,0.242085
-32,0.293716,0.0120748,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0252052,0.0957332,0.248438
-40,0.274765,0.0594003,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0530255,0.112139,0.251922
-48,0.256133,0.118329,1.14443e-06,3.81476e-07,3.81476e-07,2.74662e-05,0.0753278,0.126531,0.251922
-56,0.251947,0.135202,0.00265011,3.81476e-07,3.81476e-07,0.00570726,0.0923238,0.163827,0.251922
-64,0.251825,0.203474,0.0876138,4.38697e-06,1.14443e-06,0.0237351,0.11304,0.198678,0.251903
-72,0.251825,0.248767,0.0910468,0.0355798,0.00184825,0.0575964,0.135511,0.229725,0.251903
-80,0.252943,0.253668,0.235197,0.150365,0.0913117,0.0986515,0.176094,0.252213,0.259277
-88,0.285627,0.318258,0.323558,0.318202,0.337199,0.247839,0.345579,0.354772,0.424362
-96,0.349639,0.364135,0.377467,0.375067,0.349325,0.487816,0.48969,0.454116,0.493189
-104,0.408638,0.462684,0.485079,0.485079,0.495559,0.495849,0.495776,0.495849,0.495849
-112,0.495776,0.495776,0.495704,0.495776,0.495849,0.495849,0.495776,0.495776,0.495849
-120,0.495776,0.495776,0.495776,0.495849,0.495849,0.495776,0.495776,0.495776,0.495776
Scan End
