SW Version,2022.2
Date and Time Started,2026-Feb-10 14:44:32
Date and Time Ended,2026-Feb-10 14:44:33
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,3840
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.408758,0.476383,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.373186,0.435048,0.483365,0.438216,0.48494,0.476877,0.50365,0.50365,0.50365
104,0.357993,0.349861,0.378068,0.360345,0.429601,0.390191,0.388462,0.355717,0.425713
96,0.28894,0.313432,0.267553,0.204546,0.214967,0.227237,0.367109,0.362633,0.434219
88,0.258574,0.253583,0.255544,0.159221,0.152488,0.0971097,0.142744,0.24786,0.301914
80,0.251825,0.251748,0.126048,0.0698312,0.00207485,0.0367775,0.0970815,0.179563,0.251922
72,0.251825,0.226045,0.133505,0.030434,3.81476e-07,0.0183155,0.065523,0.164053,0.251903
64,0.251684,0.134824,0.112449,0.00774414,3.81476e-07,0.000864042,0.0421135,0.136167,0.251922
56,0.254695,0.134558,0.0990675,4.48234e-05,3.81476e-07,3.81476e-07,0.0198453,0.101786,0.25367
48,0.255797,0.126048,0.0355861,3.81476e-07,3.81476e-07,3.81476e-07,0.00448653,0.075702,0.252977
40,0.238174,0.124591,0.0160404,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0481415,0.27833
32,0.228412,0.10497,0.00404707,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0336617,0.280253
24,0.240958,0.0702745,1.35424e-05,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0249777,0.293201
16,0.228611,0.0496389,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0062089,0.311689
8,0.229356,0.0209042,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000322728,0.301711
0,0.252427,0.0122314,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00351358,0.264422
-8,0.275834,0.00421588,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0160056,0.254341
-16,0.304603,0.00590734,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0287779,0.244813
-24,0.302842,0.0237634,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,7.62951e-07,0.0387196,0.229923
-32,0.320277,0.049483,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000246433,0.0637204,0.240957
-40,0.289032,0.0810838,6.14176e-05,3.81476e-07,3.81476e-07,3.81476e-07,0.00942626,0.0944093,0.234799
-48,0.282721,0.11153,0.00595197,3.81476e-07,3.81476e-07,3.81476e-07,0.0235205,0.111303,0.238896
-56,0.267274,0.125431,0.0269401,3.81476e-07,3.81476e-07,0.000830472,0.0362458,0.123912,0.246972
-64,0.260647,0.21586,0.0948794,0.000120546,3.81476e-07,0.0134064,0.0589261,0.130077,0.251845
-72,0.253501,0.211513,0.167147,0.013056,1.1635e-05,0.0347956,0.0868706,0.151932,0.251922
-80,0.251827,0.241934,0.151786,0.0778771,0.00382258,0.0618537,0.119168,0.22096,0.251903
-88,0.251826,0.251828,0.202283,0.217187,0.0584096,0.113361,0.159833,0.199441,0.274694
-96,0.275644,0.284706,0.314743,0.353247,0.199086,0.209677,0.222546,0.336971,0.320628
-104,0.366573,0.350785,0.373583,0.445212,0.362171,0.44198,0.481367,0.374953,0.495341
-112,0.369626,0.468771,0.395442,0.479884,0.495776,0.495776,0.491205,0.495776,0.494077
-120,0.494188,0.487427,0.495776,0.495704,0.495849,0.495776,0.495849,0.495776,0.495776
Scan End
