SW Version,2022.2
Date and Time Started,2026-Feb-10 12:42:32
Date and Time Ended,2026-Feb-10 12:42:33
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,3584
Horizontal Opening,25
Horizontal Percentage,44.44
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.501197,0.493616,0.50365,0.503573,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.389135,0.48129,0.416917,0.477372,0.503418,0.50365,0.498494,0.503187,0.503496
104,0.370738,0.368618,0.377603,0.376547,0.348189,0.383873,0.422549,0.419047,0.459888
96,0.299849,0.318681,0.321395,0.192063,0.285652,0.277115,0.308127,0.326414,0.392656
88,0.257452,0.252513,0.176161,0.130758,0.090294,0.0994566,0.221189,0.267228,0.263165
80,0.251825,0.230692,0.128783,0.050825,0.00367857,0.0444315,0.170426,0.220228,0.251961
72,0.251888,0.194351,0.122743,0.00954871,3.81476e-07,0.0287921,0.112595,0.22779,0.251922
64,0.255624,0.202469,0.0467361,0.000391585,3.81476e-07,0.00593252,0.0859692,0.173207,0.251903
56,0.26863,0.137957,0.0177781,3.81476e-07,3.81476e-07,8.86931e-05,0.0553954,0.150329,0.252155
48,0.273437,0.126653,0.00403162,3.81476e-07,3.81476e-07,3.81476e-07,0.0369211,0.130548,0.252565
40,0.291078,0.117937,2.4033e-05,3.81476e-07,3.81476e-07,3.81476e-07,0.0262125,0.105606,0.2679
32,0.276949,0.0907991,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00950961,0.0801957,0.274976
24,0.27868,0.0466669,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000309186,0.0516281,0.258206
16,0.27494,0.0218144,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0387958,0.254821
8,0.270532,0.014985,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.054647,0.250036
0,0.286756,0.0087953,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.0518e-06,0.0481675,0.248642
-8,0.298847,0.00250591,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000664912,0.0528759,0.24833
-16,0.322548,0.0128631,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00856432,0.0708645,0.231084
-24,0.330006,0.0294441,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.026189,0.0821325,0.226437
-32,0.332164,0.0538481,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0432108,0.099868,0.236651
-40,0.316126,0.0910311,3.81476e-07,3.81476e-07,3.81476e-07,1.43053e-05,0.0540648,0.111001,0.23522
-48,0.287129,0.104435,7.53414e-05,3.81476e-07,3.81476e-07,0.00163882,0.0735425,0.128253,0.246402
-56,0.270903,0.183551,0.00361944,3.81476e-07,3.81476e-07,0.0169975,0.0861853,0.143745,0.241525
-64,0.264305,0.185169,0.0640793,1.44961e-05,3.81476e-07,0.0366447,0.106503,0.168978,0.245628
-72,0.255499,0.236623,0.0811239,0.00696918,0.000249866,0.0519066,0.123421,0.220295,0.251922
-80,0.251879,0.251825,0.240513,0.136222,0.00985542,0.0808883,0.148074,0.227011,0.251903
-88,0.251837,0.251827,0.225803,0.138067,0.0616041,0.144814,0.209873,0.247993,0.313623
-96,0.349979,0.300808,0.312188,0.347918,0.375682,0.357231,0.303862,0.318222,0.454855
-104,0.353348,0.369932,0.374165,0.372525,0.424491,0.430504,0.483513,0.423446,0.478582
-112,0.42014,0.423132,0.445945,0.490377,0.495704,0.495776,0.495559,0.495849,0.495926
-120,0.464601,0.495776,0.495776,0.495776,0.495849,0.495776,0.495849,0.495776,0.495776
Scan End
