SW Version,2022.2
Date and Time Started,2026-Feb-17 11:36:17
Date and Time Ended,2026-Feb-17 11:36:18
Scan Name,Scan 1
Link Settings,
Reset RX After Applying Settings,false
Open Area,3840
Horizontal Opening,41
Horizontal Percentage,66.67
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.50365,0.496213,0.50365,0.50365,0.503805,0.50365,0.50365,0.50365,0.50365
112,0.397484,0.499314,0.50365,0.492905,0.503418,0.503341,0.50365,0.50365,0.50365
104,0.377622,0.382207,0.452018,0.459442,0.42352,0.42826,0.390295,0.418182,0.470939
96,0.309055,0.320125,0.374256,0.245683,0.331175,0.462581,0.412606,0.393931,0.468588
88,0.2555,0.257099,0.163623,0.134103,0.0988875,0.180543,0.291471,0.266271,0.280573
80,0.251825,0.251285,0.128803,0.042531,0.00233082,0.0574444,0.171388,0.253651,0.25598
72,0.251825,0.177891,0.125855,0.00770638,3.81476e-07,0.0310512,0.133479,0.245682,0.251903
64,0.251825,0.157445,0.038716,5.72213e-06,3.81476e-07,0.0109527,0.101845,0.225175,0.251903
56,0.251839,0.126262,0.00695048,3.81476e-07,3.81476e-07,0.000200275,0.0755571,0.179591,0.251903
48,0.239162,0.116977,2.67033e-05,3.81476e-07,3.81476e-07,3.81476e-07,0.0584051,0.132705,0.252506
40,0.226754,0.100268,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0330386,0.120948,0.261871
32,0.21799,0.0500697,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.015546,0.0950225,0.29188
24,0.238201,0.0125521,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00451591,0.0699863,0.302272
16,0.247924,0.000988022,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,1.67849e-05,0.0494699,0.300358
8,0.255925,5.91287e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0275214,0.262855
0,0.253131,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0342951,0.258012
-8,0.260772,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,1.10628e-05,0.0464503,0.250055
-16,0.274869,3.24254e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00211452,0.0694197,0.233419
-24,0.298177,0.000474365,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0127316,0.0885706,0.25377
-32,0.312843,0.0115188,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0278561,0.0951108,0.248492
-40,0.278097,0.048165,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.058177,0.112837,0.25363
-48,0.259542,0.123335,1.33516e-06,3.81476e-07,3.81476e-07,0.000113107,0.0740812,0.124881,0.251845
-56,0.252668,0.135403,0.00165885,3.81476e-07,3.81476e-07,0.0084947,0.094344,0.148162,0.251903
-64,0.251831,0.180438,0.0344198,6.6949e-05,3.81476e-07,0.0232231,0.111755,0.194337,0.251903
-72,0.251825,0.248767,0.129333,0.0480014,0.00128538,0.0488806,0.139825,0.211363,0.251903
-80,0.252325,0.25285,0.148345,0.139562,0.101014,0.101266,0.192084,0.25357,0.257548
-88,0.280155,0.290098,0.222164,0.284302,0.293926,0.342372,0.28097,0.307078,0.358531
-96,0.352487,0.368369,0.374476,0.394243,0.447149,0.440804,0.436325,0.359211,0.482113
-104,0.453447,0.479062,0.435253,0.377744,0.492473,0.494188,0.495776,0.495776,0.495849
-112,0.495776,0.495776,0.495776,0.495776,0.495776,0.495849,0.495776,0.495922,0.495849
-120,0.495776,0.495776,0.495776,0.495776,0.495776,0.495776,0.495776,0.495776,0.495776
Scan End
