SW Version,2022.2
Date and Time Started,2026-Feb-17 11:36:06
Date and Time Ended,2026-Feb-17 11:36:08
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,3584
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.498717,0.502802,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.432981,0.378321,0.453199,0.428718,0.503728,0.50365,0.50365,0.50365,0.50365
104,0.360876,0.37187,0.380892,0.34618,0.357143,0.368723,0.47943,0.457243,0.387401
96,0.308812,0.313321,0.372525,0.308871,0.25334,0.318453,0.309426,0.357318,0.425443
88,0.261656,0.255107,0.239372,0.143666,0.11064,0.110981,0.201843,0.262721,0.269005
80,0.251826,0.251593,0.139129,0.0469881,0.00155356,0.0438236,0.129913,0.224222,0.251922
72,0.252201,0.211567,0.125971,0.0247476,3.81476e-07,0.030584,0.0876478,0.16941,0.251903
64,0.253621,0.159935,0.119294,0.00523613,3.81476e-07,0.00365778,0.049645,0.152297,0.251903
56,0.257794,0.12752,0.0387636,5.72213e-07,3.81476e-07,2.47959e-05,0.0327206,0.121492,0.250789
48,0.27589,0.125952,0.016014,3.81476e-07,3.81476e-07,3.81476e-07,0.0206815,0.0959331,0.25409
40,0.248529,0.122633,0.00527733,3.81476e-07,3.81476e-07,3.81476e-07,0.00387751,0.0744886,0.260003
32,0.264615,0.103133,5.14992e-06,3.81476e-07,3.81476e-07,3.81476e-07,1.33516e-05,0.0392657,0.263031
24,0.264148,0.0533709,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0297481,0.261019
16,0.248621,0.0204865,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0180109,0.281767
8,0.241413,0.0150444,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00502976,0.272936
0,0.263444,0.00655966,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.013109,0.247921
-8,0.288553,0.000473793,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0259427,0.232143
-16,0.314651,0.00443866,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-05,0.0405079,0.202375
-24,0.333848,0.0175323,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00214065,0.0611838,0.201736
-32,0.336775,0.0349664,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0137228,0.0799599,0.2324
-40,0.315903,0.0592628,5.72213e-07,3.81476e-07,3.81476e-07,5.72213e-07,0.0269073,0.0972793,0.23391
-48,0.286426,0.104369,0.00146906,3.81476e-07,3.81476e-07,0.000652514,0.0403702,0.118022,0.234439
-56,0.273267,0.125971,0.0170976,3.81476e-07,3.81476e-07,0.00925193,0.0627684,0.126727,0.240828
-64,0.26309,0.196873,0.0502201,3.39513e-05,3.81476e-07,0.0271292,0.0918992,0.136782,0.250316
-72,0.254178,0.247564,0.142196,0.0101162,0.00016041,0.0445988,0.110686,0.15754,0.249995
-80,0.252101,0.251825,0.178706,0.0548577,0.0106531,0.0795786,0.127751,0.225925,0.251922
-88,0.25184,0.251852,0.25158,0.164393,0.125192,0.119306,0.158338,0.219903,0.258127
-96,0.289876,0.310849,0.306022,0.367045,0.201986,0.275855,0.306558,0.321674,0.362688
-104,0.371067,0.369983,0.379923,0.478183,0.456878,0.471251,0.454044,0.453966,0.485247
-112,0.426343,0.488448,0.494547,0.495776,0.485545,0.493759,0.495776,0.495849,0.495854
-120,0.493402,0.495776,0.495776,0.495849,0.495776,0.495776,0.495776,0.495776,0.495849
Scan End
