SW Version,2022.2
Date and Time Started,2026-Feb-17 17:08:46
Date and Time Ended,2026-Feb-17 17:08:47
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,3712
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.480011,0.487292,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.503728
112,0.370669,0.464989,0.405145,0.432382,0.491342,0.50365,0.503573,0.502802,0.503496
104,0.342695,0.358979,0.379524,0.358495,0.421682,0.460599,0.470318,0.356363,0.488594
96,0.324876,0.282966,0.322081,0.289034,0.203713,0.245778,0.333891,0.350955,0.328322
88,0.252705,0.258295,0.182976,0.175016,0.117464,0.0915684,0.206269,0.254965,0.270954
80,0.251826,0.251516,0.138987,0.068967,0.00341974,0.0434269,0.120884,0.231292,0.251922
72,0.251846,0.222605,0.12601,0.023953,3.81476e-07,0.0299884,0.0731781,0.163275,0.251903
64,0.252472,0.174184,0.121307,0.00454242,3.81476e-07,0.00823281,0.052834,0.153172,0.251903
56,0.260752,0.125971,0.0587065,3.81476e-05,3.81476e-07,0.000194362,0.0329138,0.118063,0.252058
48,0.265846,0.125971,0.0198631,3.81476e-07,3.81476e-07,3.81476e-07,0.0258372,0.0910843,0.251709
40,0.274603,0.118414,0.00805676,3.81476e-07,3.81476e-07,3.81476e-07,0.00447166,0.0680636,0.255981
32,0.265169,0.109576,0.000109483,3.81476e-07,3.81476e-07,3.81476e-07,3.28069e-05,0.0416957,0.258656
24,0.266144,0.0722071,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0309878,0.261134
16,0.265367,0.0321101,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0211483,0.279423
8,0.246208,0.0161329,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00718585,0.264708
0,0.261214,0.0105602,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00856832,0.243694
-8,0.290354,0.00205024,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0214269,0.236214
-16,0.31516,0.00215934,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,5.72213e-07,0.0366414,0.203972
-24,0.326048,0.013739,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000383001,0.0534371,0.203891
-32,0.338617,0.0369989,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00997082,0.0720674,0.211356
-40,0.334133,0.0605283,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0223928,0.0988523,0.228133
-48,0.30698,0.100873,0.000450523,3.81476e-07,3.81476e-07,2.46052e-05,0.0388353,0.116811,0.224128
-56,0.283087,0.153062,0.0125723,3.81476e-07,3.81476e-07,0.00352369,0.0678812,0.126216,0.24333
-64,0.268271,0.144554,0.0348681,1.10628e-05,3.81476e-07,0.0173872,0.0690716,0.136619,0.239617
-72,0.26,0.245339,0.0683627,0.00672103,5.72213e-07,0.0464657,0.101953,0.164999,0.251922
-80,0.252961,0.233987,0.219857,0.0952546,0.00273003,0.0587528,0.132224,0.223474,0.251903
-88,0.251842,0.251825,0.164469,0.170405,0.0406748,0.110723,0.199111,0.21254,0.252349
-96,0.273445,0.263267,0.271732,0.32215,0.102454,0.291844,0.257709,0.288598,0.321729
-104,0.318983,0.355691,0.393406,0.359979,0.424177,0.473099,0.466407,0.448187,0.450441
-112,0.369171,0.432184,0.495776,0.494188,0.471134,0.495341,0.495776,0.494188,0.495999
-120,0.493688,0.448179,0.495776,0.494547,0.495776,0.495776,0.495776,0.495776,0.495776
Scan End
