SW Version,2022.2
Date and Time Started,2026-Feb-17 17:08:56
Date and Time Ended,2026-Feb-17 17:08:57
Scan Name,Scan 1
Link Settings,
Reset RX After Applying Settings,false
Open Area,3840
Horizontal Opening,41
Horizontal Percentage,66.67
Vertical Opening,137
Vertical Percentage,58.06
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.50365,0.50365,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.49383,0.50365,0.486492,0.487099,0.50365,0.50365,0.498941,0.50365,0.503728
104,0.379544,0.41049,0.439842,0.376265,0.47108,0.500592,0.502266,0.475687,0.480018
96,0.316686,0.301437,0.318412,0.245958,0.365759,0.26286,0.285854,0.393797,0.456468
88,0.256854,0.253328,0.257352,0.16128,0.200081,0.163035,0.261336,0.272715,0.280122
80,0.251825,0.251825,0.12354,0.0525397,0.00164092,0.062128,0.194001,0.255344,0.252662
72,0.251825,0.140633,0.125797,0.0103468,3.81476e-07,0.0354905,0.136295,0.223065,0.251903
64,0.251825,0.160909,0.0922095,2.28885e-06,3.81476e-07,0.0100841,0.100196,0.227161,0.251903
56,0.251827,0.126379,0.00661746,3.81476e-07,3.81476e-07,0.000267987,0.0728946,0.182179,0.251903
48,0.25171,0.123801,7.30526e-05,3.81476e-07,3.81476e-07,3.81476e-07,0.054994,0.13661,0.252038
40,0.237717,0.0824383,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0300908,0.116798,0.279415
32,0.232893,0.0426862,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.013835,0.0924337,0.286576
24,0.239025,0.0178257,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00115225,0.0642064,0.29344
16,0.245597,0.00287251,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,5.5314e-06,0.0482851,0.297365
8,0.257198,3.20439e-05,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0328621,0.252918
0,0.253666,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.031526,0.25734
-8,0.263705,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-06,0.0485264,0.24253
-16,0.271784,4.00549e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00112058,0.0680353,0.233315
-24,0.302766,0.00075742,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00867075,0.08527,0.237153
-32,0.272194,0.0128401,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0267239,0.0985787,0.245019
-40,0.282317,0.0571302,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0547002,0.114987,0.245628
-48,0.263527,0.116627,5.72213e-07,3.81476e-07,3.81476e-07,0.000142863,0.080132,0.128192,0.251922
-56,0.253894,0.135538,0.0041804,3.81476e-07,3.81476e-07,0.00560636,0.0936537,0.165122,0.251883
-64,0.251828,0.216259,0.0612983,0.000158694,3.81476e-07,0.0201688,0.114011,0.222965,0.251903
-72,0.251825,0.251362,0.0928472,0.0315078,0.00128061,0.0519066,0.138819,0.247891,0.251903
-80,0.252116,0.239576,0.240152,0.16229,0.103416,0.107199,0.181642,0.25274,0.255361
-88,0.291113,0.294017,0.218585,0.212445,0.14821,0.256409,0.246881,0.32288,0.375797
-96,0.368869,0.368718,0.384466,0.364413,0.386416,0.481483,0.41395,0.450677,0.484153
-104,0.45606,0.379564,0.466948,0.487757,0.495467,0.473158,0.489823,0.465273,0.495776
-112,0.446176,0.495849,0.495849,0.494835,0.495849,0.495776,0.495776,0.495776,0.495922
-120,0.495776,0.495776,0.495776,0.495776,0.495849,0.495776,0.495776,0.495849,0.495776
Scan End
